"","V1","V2","V3","V4","V5","V6","V7"
"1","1000","female","0.5","35","3.1","2.4","77.33"
"2","1000","female","0.5","36","3.1","2.4","77.33"
"3","1000","female","0.5","37","3.1","2.4","77.33"
"4","1000","female","0.5","38","3.1","2.4","77.33"
"5","1000","female","0.5","39","3.1","2.4","77.33"
"6","1000","female","0.5","40","3.1","2.4","77.33"
"7","1000","female","0.5","41","3.1","2.4","77.33"
"8","1000","female","0.5","42","3.1","2.4","77.33"
"9","1000","female","0.5","43","3.1","2.4","77.33"
"10","1000","female","0.5","44","3.1","2.4","77.33"
"11","1000","female","0.5","45","3.1","2.4","77.33"
"12","1000","female","0.5","46","3.1","2.4","77.33"
"13","1000","female","0.5","47","3.1","2.4","77.33"
"14","1000","female","0.5","48","3.1","2.4","77.33"
"15","1000","female","0.5","49","3.1","2.4","77.33"
"16","1000","female","0.5","50","3.1","2.4","77.33"
"17","1000","female","0.5","51","3.2","2.49","77.89"
"18","1000","female","0.5","52","3.3","2.75","83.35"
"19","1000","female","0.5","53","3.3","2.75","83.35"
"20","1000","female","0.5","54","3.3","2.75","83.35"
"21","1000","female","0.5","55","3.3","2.75","83.35"
"22","1000","female","0.5","56","3.3","2.75","83.35"
"23","1000","female","0.5","57","3.3","2.75","83.35"
"24","1000","female","0.5","58","3.3","2.75","83.35"
"25","1000","female","0.5","59","3.3","2.75","83.35"
"26","1000","female","0.5","60","3.3","2.75","83.35"
"27","1000","female","0.5","61","3.3","2.75","83.35"
"28","1000","female","0.5","62","3.3","2.75","83.35"
"29","1000","female","0.5","63","3.3","2.75","83.35"
"30","1000","female","0.5","64","3.3","2.75","83.35"
"31","1000","female","0.5","65","3.3","2.75","83.35"
"32","1000","female","0.5","66","3.3","2.75","83.35"
"33","1000","female","0.5","67","3.3","2.75","83.35"
"34","1000","female","0.5","68","3.3","2.58","78.22"
"35","1000","female","0.5","69","3.5","2.89","82.55"
"36","1000","female","0.5","70","3.4","2.52","74.06"
"37","1000","female","0.5","71","3.3","2.39","72.47"
"38","1000","female","0.5","72","3.3","2.39","72.47"
"39","1000","female","0.5","73","3.3","2.39","72.47"
"40","1000","female","0.5","74","3.3","2.39","72.47"
"41","1000","female","0.5","75","3.3","2.25","68.03"
"42","1000","female","0.5","76","3.4","2.28","67.19"
"43","1000","female","0.5","77","3.3","2.21","66.88"
"44","1000","female","0.5","78","3.3","1.98","60.06"
"45","1000","female","0.5","79","3.4","1.95","57.3"
"46","1000","female","0.5","80","3.4","1.95","57.3"
"47","1000","female","0.5","81","3.5","2.09","59.86"
"48","1000","female","0.5","82","3.9","2.18","55.78"
"49","1000","female","0.5","83","3.9","2.04","52.23"
"50","1000","female","0.5","84","4.1","2","48.75"
"51","1000","female","0.5","85","4","1.88","47.01"
"52","1000","male","0.5","35","4.9","5.24","106.95"
"53","1000","male","0.5","36","4.9","5.24","106.95"
"54","1000","male","0.5","37","4.9","5.24","106.95"
"55","1000","male","0.5","38","4.9","5.24","106.95"
"56","1000","male","0.5","39","4.9","5.24","106.95"
"57","1000","male","0.5","40","4.9","5.24","106.95"
"58","1000","male","0.5","41","4.8","4.58","95.49"
"59","1000","male","0.5","42","4.8","4.58","95.49"
"60","1000","male","0.5","43","4.8","4.58","95.49"
"61","1000","male","0.5","44","4.8","4.58","95.49"
"62","1000","male","0.5","45","4.8","4.58","95.49"
"63","1000","male","0.5","46","4.8","4.58","95.49"
"64","1000","male","0.5","47","4.8","4.58","95.49"
"65","1000","male","0.5","48","4.8","4.58","95.49"
"66","1000","male","0.5","49","4.8","4.58","95.49"
"67","1000","male","0.5","50","4.8","4.58","95.49"
"68","1000","male","0.5","51","4.9","4.75","97.02"
"69","1000","male","0.5","52","4.9","4.75","97.02"
"70","1000","male","0.5","53","4.9","4.75","97.02"
"71","1000","male","0.5","54","4.9","4.75","97.02"
"72","1000","male","0.5","55","4.9","4.75","97.02"
"73","1000","male","0.5","56","4.9","4.75","97.02"
"74","1000","male","0.5","57","4.9","4.75","97.02"
"75","1000","male","0.5","58","4.9","4.75","97.02"
"76","1000","male","0.5","59","4.9","4.75","97.02"
"77","1000","male","0.5","60","4.9","4.75","97.02"
"78","1000","male","0.5","61","5","4.86","97.11"
"79","1000","male","0.5","62","5.1","4.96","97.35"
"80","1000","male","0.5","63","5.1","4.96","97.35"
"81","1000","male","0.5","64","5","4.61","92.24"
"82","1000","male","0.5","65","4.9","4.39","89.69"
"83","1000","male","0.5","66","4.9","4.48","91.34"
"84","1000","male","0.5","67","5","4.69","93.85"
"85","1000","male","0.5","68","5.1","4.82","94.61"
"86","1000","male","0.5","69","5","4.5","89.99"
"87","1000","male","0.5","70","5","4.1","81.98"
"88","1000","male","0.5","71","5","4.13","82.65"
"89","1000","male","0.5","72","5.2","4.32","83"
"90","1000","male","0.5","73","5.2","4.32","83"
"91","1000","male","0.5","74","5.1","4.1","80.49"
"92","1000","male","0.5","75","5.1","4.02","78.88"
"93","1000","male","0.5","76","4.9","3.64","74.19"
"94","1000","male","0.5","77","4.9","3.39","69.15"
"95","1000","male","0.5","78","4.8","3.31","68.96"
"96","1000","male","0.5","79","5","3.4","67.94"
"97","1000","male","0.5","80","4.9","3.24","66.03"
"98","1000","male","0.5","81","4.8","3.09","64.47"
"99","1000","male","0.5","82","5","3.17","63.44"
"100","1000","male","0.5","83","4.5","2.82","62.61"
"101","1000","male","0.5","84","4.6","2.84","61.71"
"102","1000","male","0.5","85","4.1","2.21","54.01"
"103","1000","female","1","35","5.7","5.83","102.3"
"104","1000","female","1","36","5.7","5.83","102.3"
"105","1000","female","1","37","5.7","5.83","102.3"
"106","1000","female","1","38","5.8","5.88","101.41"
"107","1000","female","1","39","5.8","5.88","101.41"
"108","1000","female","1","40","5.8","5.88","101.41"
"109","1000","female","1","41","5.8","5.88","101.41"
"110","1000","female","1","42","5.8","5.88","101.41"
"111","1000","female","1","43","5.8","5.88","101.41"
"112","1000","female","1","44","5.9","5.94","100.75"
"113","1000","female","1","45","5.9","5.94","100.75"
"114","1000","female","1","46","5.9","5.94","100.75"
"115","1000","female","1","47","5.9","5.94","100.75"
"116","1000","female","1","48","5.9","5.94","100.75"
"117","1000","female","1","49","5.9","5.94","100.75"
"118","1000","female","1","50","5.9","5.94","100.75"
"119","1000","female","1","51","5.9","5.94","100.75"
"120","1000","female","1","52","5.9","5.94","100.75"
"121","1000","female","1","53","5.9","5.94","100.75"
"122","1000","female","1","54","6","5.95","99.1"
"123","1000","female","1","55","6","5.95","99.1"
"124","1000","female","1","56","6.1","6.22","101.93"
"125","1000","female","1","57","6.1","6.22","101.93"
"126","1000","female","1","58","6.1","6.22","101.93"
"127","1000","female","1","59","6.1","6.22","101.93"
"128","1000","female","1","60","6.1","6.22","101.93"
"129","1000","female","1","61","6.1","6.22","101.93"
"130","1000","female","1","62","6","5.94","99.05"
"131","1000","female","1","63","6","5.94","99.05"
"132","1000","female","1","64","5.9","5.48","92.93"
"133","1000","female","1","65","6","5.63","93.91"
"134","1000","female","1","66","6","5.63","93.91"
"135","1000","female","1","67","6.1","5.74","94.17"
"136","1000","female","1","68","6.1","5.65","92.63"
"137","1000","female","1","69","6.2","5.37","86.63"
"138","1000","female","1","70","6.2","5.37","86.63"
"139","1000","female","1","71","6.1","5.1","83.67"
"140","1000","female","1","72","6.1","5.1","83.67"
"141","1000","female","1","73","6","4.7","78.35"
"142","1000","female","1","74","5.9","4.51","76.42"
"143","1000","female","1","75","6","4.62","77.04"
"144","1000","female","1","76","6.1","4.59","75.24"
"145","1000","female","1","77","6","4.61","76.88"
"146","1000","female","1","78","5.8","4.36","75.17"
"147","1000","female","1","79","5.8","4.36","75.17"
"148","1000","female","1","80","6.1","4.55","74.67"
"149","1000","female","1","81","5.9","4.13","70.06"
"150","1000","female","1","82","6.1","4.43","72.68"
"151","1000","female","1","83","6.3","4.36","69.26"
"152","1000","female","1","84","6.8","4.44","65.33"
"153","1000","female","1","85","6.4","3.74","58.49"
"154","1000","male","1","35","7.8","7.86","100.74"
"155","1000","male","1","36","7.7","7.56","98.22"
"156","1000","male","1","37","7.7","7.56","98.22"
"157","1000","male","1","38","7.7","7.56","98.22"
"158","1000","male","1","39","7.7","7.56","98.22"
"159","1000","male","1","40","7.7","7.56","98.22"
"160","1000","male","1","41","7.7","7.56","98.22"
"161","1000","male","1","42","7.7","7.56","98.22"
"162","1000","male","1","43","7.7","7.56","98.22"
"163","1000","male","1","44","7.7","7.56","98.22"
"164","1000","male","1","45","7.7","7.56","98.22"
"165","1000","male","1","46","7.7","7.56","98.22"
"166","1000","male","1","47","7.7","7.56","98.22"
